LETTER	COUNT	COLOR	DESCRIPTION
J	259	red	Translation, ribosomal structure and biogenesis
A	2	red	RNA processing and modification
K	274	red	Transcription
L	152	red	Replication, recombination and repair
B	0	red	Chromatin structure and dynamics
D	45	blue	Cell cycle control, cell division, chromosome partitioning
Y	0	blue	Nuclear structure
V	91	blue	Defense mechanisms
T	159	blue	Signal transduction mechanisms
M	271	blue	Cell wall/membrane/envelope biogenesis
N	97	blue	Cell motility
Z	0	blue	Cytoskeleton
W	11	blue	Extracellular structures
U	38	blue	Intracellular trafficking, secretion, and vesicular transport
O	148	blue	Posttranslational modification, protein turnover, chaperones
X	71	blue	Mobilome: prophages, transposons
C	280	green	Energy production and conversion
G	371	green	Carbohydrate transport and metabolism
E	354	green	Amino acid transport and metabolism
F	110	green	Nucleotide transport and metabolism
H	174	green	Coenzyme transport and metabolism
I	128	green	Lipid transport and metabolism
P	190	green	Inorganic ion transport and metabolism
Q	43	green	Secondary metabolites biosynthesis, transport and catabolism
R	150	grey	General function prediction only
S	157	grey	Function unknown
-	565	black	No classified
