LETTER	COUNT	COLOR	DESCRIPTION
J	259	#FCCCFC	Translation, ribosomal structure and biogenesis
A	2	#FCDCFC	RNA processing and modification
K	274	#FCDCEC	Transcription
L	152	#FCDCDC	Replication, recombination and repair
B	0	#FCDCCC	Chromatin structure and dynamics
D	45	#FCFCDC	Cell cycle control, cell division, chromosome partitioning
Y	0	#FCFCCC	Nuclear structure
V	91	#FCFCBC	Defense mechanisms
T	159	#FCFCAC	Signal transduction mechanisms
M	271	#ECFCAC	Cell wall/membrane/envelope biogenesis
N	97	#DCFCAC	Cell motility
Z	0	#CCFCAC	Cytoskeleton
W	11	#BCFCAC	Extracellular structures
U	38	#ACFCAC	Intracellular trafficking, secretion, and vesicular transport
O	148	#9CFCAC	Posttranslational modification, protein turnover, chaperones
X	71	#9CFC9C	Mobilome: prophages, transposons
C	280	#BCFCFC	Energy production and conversion
G	371	#CCFCFC	Carbohydrate transport and metabolism
E	354	#DCFCFC	Amino acid transport and metabolism
F	110	#DCECFC	Nucleotide transport and metabolism
H	174	#DCDCFC	Coenzyme transport and metabolism
I	128	#DCCCFC	Lipid transport and metabolism
P	190	#CCCCFC	Inorganic ion transport and metabolism
Q	43	#BCCCFC	Secondary metabolites biosynthesis, transport and catabolism
R	150	#E0E0E0	General function prediction only
S	157	#CCCCCC	Function unknown
