QUERY_ID	COG_ID	CDD_ID	EVALUE	IDENTITY	GENE_NAME	COG_NAME	COG_LETTER	COG_DESCRIPTION
NP_414543.1	COG0527	223601	0.0	46.97	MetL1	Aspartate kinase	E	Amino acid transport and metabolism
NP_414544.1	COG0083	223161	2.5e-150	45.806	ThrB	Homoserine kinase	E	Amino acid transport and metabolism
NP_414545.1	COG0498	223572	1.44e-144	34.852	ThrC	Threonine synthase	E	Amino acid transport and metabolism
NP_414547.1	COG3022	225566	1.65e-141	70.817	YaaA	DNA-binding protein YaaA associated with the oxidative stress response	L	Replication, recombination and repair
NP_414548.1	COG1115	224040	0.0	53.437	AlsT	Na+/alanine symporter	E	Amino acid transport and metabolism
NP_414549.1	COG0176	223254	1.07e-101	39.936	TalA	Transaldolase/fructose-6-phosphate aldolase	G	Carbohydrate transport and metabolism
NP_414550.1	COG0521	223595	6.74e-70	43.503	MoaB	Molybdopterin biosynthesis enzyme MoaB/MogA	H	Coenzyme transport and metabolism
NP_414551.1	COG1584	224500	6.76e-78	65.445	SatP	Succinate-acetate transporter SatP	C	Energy production and conversion
NP_414552.1	COG4735	227078	5.76e-73	41.038	YaaW	Uncharacterized conserved protein YaaW, UPF0174 family	S	Function unknown
NP_414555.1	COG0443	223520	0.0	62.126	DnaK	Molecular chaperone DnaK (HSP70)	O	Posttranslational modification, protein turnover, chaperones
NP_414556.1	COG0484	223560	0.0	65.172	DnaJ	DnaJ-class molecular chaperone with C-terminal Zn finger domain	O	Posttranslational modification, protein turnover, chaperones
NP_414557.1	COG3385	225920	7.78e-08	18.827	InsG	IS4 transposase InsG	X	Mobilome: prophages, transposons
NP_414560.1	COG3004	225549	0.0	74.036	NhaA	Na+/H+ antiporter NhaA	C	Energy production and conversion
NP_414561.1	COG0583	223656	1.44e-32	22.997	LysR	DNA-binding transcriptional regulator, LysR family	K	Transcription
NP_414562.1	COG1662	224576	1.4e-46	53.719	InsB	Transposase and inactivated derivatives, IS1 family	X	Mobilome: prophages, transposons
NP_414563.1	COG3677	226202	1.75e-28	30.108	InsA	Transposase InsA	X	Mobilome: prophages, transposons
NP_414564.1	COG0268	223346	4.95e-25	66.667	RpsT	Ribosomal protein S20	J	Translation, ribosomal structure and biogenesis
NP_414566.1	COG0196	223274	1.52e-147	53.42	RibF	FAD synthase	H	Coenzyme transport and metabolism
NP_414567.1	COG0060	223138	0.0	53.586	IleS	Isoleucyl-tRNA synthetase	J	Translation, ribosomal structure and biogenesis
NP_414568.1	COG0597	223670	6.27e-57	50.299	LspA	Lipoprotein signal peptidase	M	Cell wall/membrane/envelope biogenesis
NP_414569.1	COG1047	223976	3.2e-63	44.444	SlpA	Peptidyl-prolyl cis-trans isomerase, FKBP type	O	Posttranslational modification, protein turnover, chaperones
NP_414570.1	COG0761	223832	0.0	68.814	IspH	4-Hydroxy-3-methylbut-2-enyl diphosphate reductase IspH	I	Lipid transport and metabolism
NP_414571.1	COG1957	224868	2.4e-131	49.026	URH1	Inosine-uridine nucleoside N-ribohydrolase	F	Nucleotide transport and metabolism
NP_414572.1	COG0289	223366	1.21e-141	60.377	DapB	4-hydroxy-tetrahydrodipicolinate reductase	E	Amino acid transport and metabolism
NP_414573.1	COG0505	223579	0.0	62.698	CarA	Carbamoylphosphate synthase small subunit	E	Amino acid transport and metabolism
NP_414574.1	COG0458	223534	0.0	71.212	CarB	Carbamoylphosphate synthase large subunit	E	Amino acid transport and metabolism
NP_414577.2	COG0663	223735	1.1e-78	46.857	PaaY	Carbonic anhydrase or acetyltransferase, isoleucine patch superfamily	R	General function prediction only
NP_414578.2	COG1024	223955	2.16e-74	40.458	CaiD	Enoyl-CoA hydratase/carnithine racemase	I	Lipid transport and metabolism
NP_414579.4	COG0318	223395	2.65e-150	34.297	MenE/FadK	O-succinylbenzoic acid-CoA ligase MenE or related acyl-CoA synthetase (AMP-forming)	I	Lipid transport and metabolism
NP_414580.1	COG1804	224717	8.34e-133	33.747	CaiB	Crotonobetainyl-CoA:carnitine CoA-transferase CaiB and related acyl-CoA transferases	I	Lipid transport and metabolism
NP_414581.1	COG1960	224871	2.63e-104	36.317	CaiA	Acyl-CoA dehydrogenase related to the alkylation response protein AidB	I	Lipid transport and metabolism
NP_414582.1	COG1292	224211	0.0	42.885	BetT	Choline-glycine betaine transporter	M	Cell wall/membrane/envelope biogenesis
NP_414583.2	COG2086	224997	6.1e-86	41.016	FixA	Electron transfer flavoprotein, alpha and beta subunits	C	Energy production and conversion
NP_414584.1	COG2025	224936	1.06e-112	39.172	FixB	Electron transfer flavoprotein, alpha subunit FixB	C	Energy production and conversion
NP_414585.1	COG0644	223717	7.89e-93	37.037	FixC	Dehydrogenase (flavoprotein)	C	Energy production and conversion
NP_414586.1	COG2440	225289	4.82e-52	60.606	FixX	Ferredoxin-like protein FixX	C	Energy production and conversion
NP_414587.1	COG2271	225180	6.8e-14	19.298	UhpC	Sugar phosphate permease	G	Carbohydrate transport and metabolism
NP_414588.1	COG2249	225158	2.34e-62	42.246	MdaB	Putative NADPH-quinone reductase (modulator of drug activity B)	R	General function prediction only
NP_414589.1	COG0475	223551	5.2e-98	43.392	KefB	Kef-type K+ transport system, membrane component KefB	P	Inorganic ion transport and metabolism
NP_414590.1	COG0262	223340	4.87e-63	50.888	FolA	Dihydrofolate reductase	H	Coenzyme transport and metabolism
NP_414591.1	COG0639	223712	3.78e-16	17.588	ApaH	Diadenosine tetraphosphatase ApaH/serine/threonine protein phosphatase, PP2A family	T	Signal transduction mechanisms
NP_414592.1	COG2967	225515	3.22e-77	73.6	ApaG	Uncharacterized conserved protein ApaG affecting Mg2+/Co2+ transport	P	Inorganic ion transport and metabolism
NP_414593.1	COG0030	223109	1.42e-134	52.692	RsmA	16S rRNA A1518 and A1519 N6-dimethyltransferase RsmA/KsgA/DIM1 (may also have DNA glycosylase/AP lyase activity)	J	Translation, ribosomal structure and biogenesis
NP_414594.1	COG1995	224906	0.0	60.303	PdxA	4-hydroxy-L-threonine phosphate dehydrogenase PdxA	H	Coenzyme transport and metabolism
NP_414595.1	COG0760	223831	6.74e-30	24.058	SurA	Peptidyl-prolyl isomerase, parvulin family	O	Posttranslational modification, protein turnover, chaperones
NP_414596.1	COG1452	224369	0.0	44.694	LptD	LPS assembly outer membrane protein LptD (organic solvent tolerance protein OstA)	M	Cell wall/membrane/envelope biogenesis
NP_414597.1	COG1076	224002	1.73e-49	32.828	DjlA	DnaJ domain-containing protein	O	Posttranslational modification, protein turnover, chaperones
NP_414600.1	COG0564	223638	8.86e-89	44.037	RluA	Pseudouridine synthase RluA, 23S rRNA- or tRNA-specific	J	Translation, ribosomal structure and biogenesis
NP_414601.1	COG0553	223627	6.16e-118	28.794	HepA	Superfamily II DNA or RNA helicase, SNF2 family	K	Transcription
NP_414602.1	COG0417	223494	0.0	39.778	PolB	DNA polymerase B elongation subunit	L	Replication, recombination and repair
NP_414603.1	COG0235	223313	1.38e-92	40.26	AraD	5-methylthioribulose/5-deoxyribulose/Fuculose 1-phosphate aldolase (methionine salvage, sugar degradation)	E	Amino acid transport and metabolism
NP_414604.1	COG2160	225071	0.0	78.0	AraA	L-arabinose isomerase	G	Carbohydrate transport and metabolism
NP_414605.1	COG1069	223995	0.0	48.387	AraB	Ribulose kinase	G	Carbohydrate transport and metabolism
NP_414606.1	COG2207	225117	2.55e-31	29.167	AraC	AraC-type DNA-binding domain and AraC-containing proteins	K	Transcription
NP_414607.1	COG0586	223659	1.28e-50	37.313	DedA	Membrane integrity protein DedA, putative transporter, DedA/Tvp38 family	M	Cell wall/membrane/envelope biogenesis
NP_414608.1	COG3840	226360	2.36e-142	75.325	ThiQ	ABC-type thiamine transport system, ATPase component ThiQ	H	Coenzyme transport and metabolism
NP_414609.1	COG1178	224099	1.84e-130	40.147	FbpB	ABC-type Fe3+ transport system, permease component	P	Inorganic ion transport and metabolism
