QUERY_ID	COG_ID	CDD_ID	EVALUE	IDENTITY	GENE_NAME	COG_NAME	COG_LETTER	COG_DESCRIPTION
BAA10019.1	COG1032	223963	6.4e-67	20.808	YgiQ	Radical SAM superfamily enzyme YgiQ, UPF0313 family	R	General function prediction only
BAA10020.1	COG0568	223642	5.51e-129	48.387	RpoD	DNA-directed RNA polymerase, sigma subunit (sigma70/sigma32)	K	Transcription
BAA10021.1	COG1159	224081	2.24e-154	50.0	Era	GTPase Era, involved in 16S rRNA processing	J	Translation, ribosomal structure and biogenesis
BAA10022.1	COG0643	223716	0.0	30.838	CheA	Chemotaxis protein histidine kinase CheA	T	Signal transduction mechanisms
BAA10023.1	COG0383	223460	0.0	32.7	MngB	Alpha-mannosidase	G	Carbohydrate transport and metabolism
BAA10024.1	COG1173	224094	2.85e-79	45.139	DppC	ABC-type dipeptide/oligopeptide/nickel transport system, permease component	E	Amino acid transport and metabolism
BAA10026.1	COG1357	224276	7.7e-15	25.41	YjbI	Uncharacterized conserved protein YjbI, contains pentapeptide repeats	S	Function unknown
BAA10027.1	COG0307	223384	2.64e-103	45.116	RibC	Riboflavin synthase alpha chain	H	Coenzyme transport and metabolism
BAA10029.1	COG1178	224099	5.96e-132	32.379	FbpB	ABC-type Fe3+ transport system, permease component	P	Inorganic ion transport and metabolism
BAA10030.1	COG0394	223471	1.71e-50	40.132	Wzb	Protein-tyrosine-phosphatase	T	Signal transduction mechanisms
BAA10031.1	COG1940	224851	4.4e-82	36.842	NagC	Sugar kinase of the NBD/HSP70 family, may contain an N-terminal HTH domain	G	Carbohydrate transport and metabolism
BAA10032.1	COG3216	225757	2.22e-71	39.459		Uncharacterized conserved protein, DUF2062 family	S	Function unknown
BAA10033.1	COG3688	226213	1.4e-86	43.455	Rae1	EndoRNase involved in mRNA decay, NYN (Nedd4-BP1/Rae1/YacP nuclease) family,  contains PIN domain	J	Translation, ribosomal structure and biogenesis
BAA10034.1	COG4636	226983	3.18e-35	28.788	Uma2	Endonuclease, Uma2 family (restriction endonuclease fold)	R	General function prediction only
BAA10035.1	COG2197	225107	2.1e-23	46.875	CitB	DNA-binding response regulator, NarL/FixJ family, contains REC and HTH domains	T	Signal transduction mechanisms
BAA10036.1	COG1143	224066	1.6e-09	32.203	NuoI	Formate hydrogenlyase subunit 6/NADH:ubiquinone oxidoreductase 23 kD subunit (chain I)	C	Energy production and conversion
BAA10037.1	COG1008	223940	0.0	49.016	NuoM	NADH:ubiquinone oxidoreductase subunit 4 (chain M)	C	Energy production and conversion
BAA10041.1	COG0546	223620	2.55e-05	21.111	Gph	Phosphoglycolate phosphatase, HAD superfamily	C	Energy production and conversion
BAA10043.1	COG1449	224366	0.0	30.631		Alpha-amylase/alpha-mannosidase, GH57 family	G	Carbohydrate transport and metabolism
BAA10046.1	COG0673	223745	3.49e-62	29.855	MviM	Predicted dehydrogenase	R	General function prediction only
BAA10049.1	COG4783	227122	2.76e-06	20.588	BepA	Outer membrane protein chaperone/metalloprotease BepA/YfgC, contains M48 and TPR domains	M	Cell wall/membrane/envelope biogenesis
BAA10050.1	COG0517	223591	1.34e-24	34.722	CBS	CBS domain	T	Signal transduction mechanisms
BAA10051.1	COG1961	224872	2.48e-28	21.186	SpoIVCA	Site-specific DNA recombinase SpoIVCA/DNA invertase PinE	L	Replication, recombination and repair
BAA10052.1	COG1937	224848	1.53e-40	48.315	FrmR	DNA-binding transcriptional regulator, FrmR family	K	Transcription
BAA10054.1	COG2509	225307	0.0	43.68		FAD-dependent dehydrogenase	R	General function prediction only
BAA10055.1	COG0834	223904	4.58e-24	20.548	HisJ	ABC-type amino acid transport/signal transduction system, periplasmic component/domain	E	Amino acid transport and metabolism
BAA10056.1	COG4257	226708	0.0	46.893	Vgb	Streptogramin lyase	V	Defense mechanisms
BAA10058.1	COG0404	223481	7.98e-157	48.942	GcvT	Glycine cleavage system protein T (aminomethyltransferase)	E	Amino acid transport and metabolism
BAA10059.1	COG0443	223520	0.0	61.897	DnaK	Molecular chaperone DnaK (HSP70)	O	Posttranslational modification, protein turnover, chaperones
BAA10060.1	COG0484	223560	9.82e-07	40.909	DnaJ	DnaJ-class molecular chaperone with C-terminal Zn finger domain	O	Posttranslational modification, protein turnover, chaperones
BAA10063.1	COG0007	223086	6.43e-105	48.511	CysG	Uroporphyrinogen-III methylase (siroheme synthase)	H	Coenzyme transport and metabolism
BAA10064.1	COG2319	225201	5.15e-77	32.895	WD40	WD40 repeat	R	General function prediction only
BAA10065.1	COG1566	224482	0.002	26.496	EmrA	Multidrug resistance efflux pump EmrA	V	Defense mechanisms
BAA10066.1	COG0699	223771	1.08e-36	16.981	CrfC	Replication fork clamp-binding protein CrfC (dynamin-like GTPase family)	L	Replication, recombination and repair
BAA10067.1	COG3385	225920	1.06e-29	21.053	InsG	IS4 transposase InsG	X	Mobilome: prophages, transposons
BAA10069.1	COG3293	225830	3.13e-19	38.824		Transposase	X	Mobilome: prophages, transposons
BAA10070.1	COG1381	224299	2.44e-60	28.0	RecO	Recombinational DNA repair protein RecO (RecF pathway)	L	Replication, recombination and repair
BAA10073.1	COG0296	223373	0.0	54.671	GlgB	1,4-alpha-glucan branching enzyme	G	Carbohydrate transport and metabolism
BAA10074.1	COG2220	225130	4.43e-36	23.552	UlaG	L-ascorbate lactonase UlaG, metallo-beta-lactamase superfamily	G	Carbohydrate transport and metabolism
BAA10077.1	COG0461	223537	4.48e-60	38.251	PyrE	Orotate phosphoribosyltransferase	F	Nucleotide transport and metabolism
BAA10078.1	COG0391	223468	8.25e-134	49.541	CofD	Archaeal 2-phospho-L-lactate transferase/Bacterial gluconeogenesis factor, CofD/UPF0052 family	G	Carbohydrate transport and metabolism
BAA10079.1	COG0119	223197	3.54e-178	52.681	LeuA	Isopropylmalate/homocitrate/citramalate synthases	E	Amino acid transport and metabolism
BAA10080.1	COG2200	225110	3.51e-104	50.385	EAL	EAL domain, c-di-GMP-specific phosphodiesterase class I (or its enzymatically inactive variant)	T	Signal transduction mechanisms
BAA10081.1	COG2252	225161	7.91e-62	22.574	NCS2	Xanthine/guanine/uracil/vitamin C permease GhxP/GhxQ, nucleobase:cation symporter 2 ( NCS2) family	F	Nucleotide transport and metabolism
BAA10082.1	COG1187	224108	9.54e-103	48.606	RsuA	Pseudouridylate synthase RsuA, specific for 16S rRNA U516  and 23S rRNA U2605	J	Translation, ribosomal structure and biogenesis
