LETTER	COUNT	GROUP	COLOR	DESCRIPTION
J	123	INFORMATION STORAGE AND PROCESSING	#FCCCFC	Translation, ribosomal structure and biogenesis
A	3	INFORMATION STORAGE AND PROCESSING	#FCDCFC	RNA processing and modification
K	18	INFORMATION STORAGE AND PROCESSING	#FCDCEC	Transcription
L	38	INFORMATION STORAGE AND PROCESSING	#FCDCDC	Replication, recombination and repair
B	1	INFORMATION STORAGE AND PROCESSING	#FCDCCC	Chromatin structure and dynamics
D	22	CELLULAR PROCESSES AND SIGNALING	#FCFCCC	Cell cycle control, cell division, chromosome partitioning
Y	0	CELLULAR PROCESSES AND SIGNALING	#FCFCBC	Nuclear structure
V	16	CELLULAR PROCESSES AND SIGNALING	#FCFCAC	Defense mechanisms
T	8	CELLULAR PROCESSES AND SIGNALING	#ECFCAC	Signal transduction mechanisms
M	21	CELLULAR PROCESSES AND SIGNALING	#DCFCAC	Cell wall/membrane/envelope biogenesis
N	1	CELLULAR PROCESSES AND SIGNALING	#CCFCAC	Cell motility
Z	0	CELLULAR PROCESSES AND SIGNALING	#BCFCAC	Cytoskeleton
W	0	CELLULAR PROCESSES AND SIGNALING	#ACFCAC	Extracellular structures
U	6	CELLULAR PROCESSES AND SIGNALING	#9CFCAC	Intracellular trafficking, secretion, and vesicular transport
O	21	CELLULAR PROCESSES AND SIGNALING	#9CFC9C	Posttranslational modification, protein turnover, chaperones
X	0	CELLULAR PROCESSES AND SIGNALING	#9CFC9C	Mobilome: prophages, transposons
C	20	METABOLISM	#BCFCFC	Energy production and conversion
G	43	METABOLISM	#CCFCFC	Carbohydrate transport and metabolism
E	25	METABOLISM	#DCFCFC	Amino acid transport and metabolism
F	23	METABOLISM	#DCECFC	Nucleotide transport and metabolism
H	24	METABOLISM	#DCDCFC	Coenzyme transport and metabolism
I	13	METABOLISM	#DCCCFC	Lipid transport and metabolism
P	18	METABOLISM	#CCCCFC	Inorganic ion transport and metabolism
Q	0	METABOLISM	#BCCCFC	Secondary metabolites biosynthesis, transport and catabolism
R	5	POORLY CHARACTERIZED	#E0E0E0	General function prediction only
S	12	POORLY CHARACTERIZED	#CCCCCC	Function unknown
