QUERY_ID	COG_ID	CDD_ID	EVALUE	IDENTITY	GENE_NAME	COG_NAME	COG_LETTER	COG_DESCRIPTION
WP_010874359.1	COG0484	440252	1.81e-20	40.278	DnaJ	DnaJ molecular chaperone, contains DnaJ and DnaJ_C  domains	O	Posttranslational modification, protein turnover, chaperones
WP_010874360.1	COG0187	439957	0.0	58.179	GyrB	DNA gyrase/topoisomerase IV, subunit B	L	Replication, recombination and repair
WP_010874363.1	COG0125	439895	3.11e-66	39.267	Tmk	Thymidylate kinase	F	Nucleotide transport and metabolism
WP_010874371.1	COG0358	440127	7.75e-11	28.23	DnaG	DNA primase (bacterial type)	L	Replication, recombination and repair
WP_010874373.1	COG0189	439959	2.07e-47	29.73	LysX	Glutathione synthase, LysX or RimK-type ligase, ATP-grasp superfamily	E	Amino acid transport and metabolism
WP_010874378.1	COG0484	440252	7.54e-39	61.538	DnaJ	DnaJ molecular chaperone, contains DnaJ and DnaJ_C  domains	O	Posttranslational modification, protein turnover, chaperones
WP_010874379.1	COG0596	440361	8.78e-24	22.887	MenH	2-succinyl-6-hydroxy-2,4-cyclohexadiene-1-carboxylate synthase MenH/undecaprenyl monophosphate-sugar esterase UshA/YqjL	H	Coenzyme transport and metabolism
WP_010874386.1	COG0231	440001	4.71e-67	39.572	Efp	Translation elongation factor P (EF-P)/translation initiation factor 5A (eIF-5A)	J	Translation, ribosomal structure and biogenesis
WP_010874389.1	COG0693	440457	2.75e-19	28.571	YajL	Protein/nucleotide deglycase, PfpI/YajL/DJ-1 family (repair of methylglyoxal-glycated proteins and nucleic acids)	V	Defense mechanisms
WP_010874390.1	COG0035	439805	4.5e-100	52.709	Upp	Uracil phosphoribosyltransferase	F	Nucleotide transport and metabolism
WP_010874402.1	COG0124	439894	5.51e-135	36.343	HisS	Histidyl-tRNA synthetase	J	Translation, ribosomal structure and biogenesis
WP_010874403.1	COG0173	439943	0.0	43.599	AspS	Aspartyl-tRNA synthetase	J	Translation, ribosomal structure and biogenesis
WP_010874404.1	COG1488	441097	4.28e-66	24.944	PncB	Nicotinic acid phosphoribosyltransferase	H	Coenzyme transport and metabolism
WP_010874410.1	COG1925	441528	3.25e-30	47.059	PtsH	HPr or related phosphotransfer protein	T	Signal transduction mechanisms
WP_010874412.1	COG3842	443052	1.44e-127	26.964	PotA	ABC-type Fe3+/spermidine/putrescine transport systems, ATPase component	E	Amino acid transport and metabolism
WP_010874416.1	COG0533	440299	1.9e-115	37.072	TsaD	tRNA A37 threonylcarbamoyltransferase TsaD	J	Translation, ribosomal structure and biogenesis
WP_010874417.1	COG0192	439962	1.19e-156	45.503	MetK	S-adenosylmethionine synthetase	H	Coenzyme transport and metabolism
WP_010874420.1	COG0274	440043	1.55e-110	50.459	DeoC	Deoxyribose-phosphate aldolase	F	Nucleotide transport and metabolism
WP_010874422.1	COG0295	440064	3.03e-44	38.281	Cdd	Cytidine deaminase	F	Nucleotide transport and metabolism
WP_010874426.1	COG0267	440037	2.15e-11	40.0	RpmG	Ribosomal protein L33	J	Translation, ribosomal structure and biogenesis
WP_010874429.1	COG1658	441264	1.14e-50	34.637	RnmV	5S rRNA maturation ribonuclease M5, contains TOPRIM domain	J	Translation, ribosomal structure and biogenesis
WP_010874431.1	COG0691	440455	5.11e-61	42.857	SmpB	tmRNA-binding protein	O	Posttranslational modification, protein turnover, chaperones
WP_010874433.1	COG2223	441825	0.007	15.862	NarK	Nitrate/nitrite transporter NarK	P	Inorganic ion transport and metabolism
WP_010874438.1	COG1136	440751	7.02e-105	42.601	LolD	ABC-type lipoprotein targeting system ATPase component LolD	M	Cell wall/membrane/envelope biogenesis
WP_010874462.1	COG0016	439787	1.04e-130	36.628	PheS	Phenylalanyl-tRNA synthetase alpha subunit	J	Translation, ribosomal structure and biogenesis
WP_010874469.1	COG2271	441872	1.06e-07	17.582	UhpC	Sugar phosphate permease	G	Carbohydrate transport and metabolism
WP_010874473.1	COG0291	440060	9.81e-17	56.364	RpmI	Ribosomal protein L35	J	Translation, ribosomal structure and biogenesis
WP_010874474.1	COG0292	440061	1.87e-54	56.14	RplT	Ribosomal protein L20	J	Translation, ribosomal structure and biogenesis
WP_010874475.1	COG1039	440661	5.15e-39	33.913	RnhC	Ribonuclease HIII	L	Replication, recombination and repair
WP_010874481.1	COG1420	441030	9.06e-87	29.532	HrcA	Transcriptional regulator of heat shock response	K	Transcription
WP_010874483.1	COG0622	440387	1.26e-30	27.059	YfcE	Mn2+-dependent phosphodiesterase, calcineurin family	R	General function prediction only
WP_010874490.1	COG1525	441134	2.27e-07	21.591	YncB	Endonuclease YncB, thermonuclease family	L	Replication, recombination and repair
WP_010874492.1	COG1175	440788	1.75e-51	31.915	UgpA	ABC-type sugar transport system, permease component	G	Carbohydrate transport and metabolism
WP_010874493.1	COG0395	440164	1.88e-48	29.412	UgpE	ABC-type glycerol-3-phosphate transport system, permease component	G	Carbohydrate transport and metabolism
WP_010874497.1	COG0618	440383	6.69e-82	28.84	NrnA	nanoRNase/pAp phosphatase, hydrolyzes c-di-AMP and oligoRNAs	A	RNA processing and modification
WP_010874510.1	COG1112	440729	2.93e-63	25.0	DNA2	Superfamily I DNA and/or RNA helicase	L	Replication, recombination and repair
WP_010874513.1	COG0858	440619	1.24e-22	25.862	RbfA	Ribosome-binding factor RbfA	J	Translation, ribosomal structure and biogenesis
WP_010874515.1	COG0196	439966	5.74e-67	29.831	RibF	FAD synthase	H	Coenzyme transport and metabolism
WP_010874516.1	COG1253	440865	8.5e-72	26.648	MpfA	Mg2+ efflux pump MpfA, contains CBS pair and CorC-HlyC domains, TlyC/UPF0053 family	P	Inorganic ion transport and metabolism
WP_010874521.1	COG0051	439821	6.53e-36	50.526	RpsJ	Ribosomal protein S10	J	Translation, ribosomal structure and biogenesis
WP_010874524.1	COG0089	439859	3.22e-17	37.778	RplW	Ribosomal protein L23	J	Translation, ribosomal structure and biogenesis
WP_010874525.1	COG0090	439860	4.61e-166	57.394	RplB	Ribosomal protein L2	J	Translation, ribosomal structure and biogenesis
WP_010874526.1	COG0185	439955	5.04e-54	64.706	RpsS	Ribosomal protein S19	J	Translation, ribosomal structure and biogenesis
WP_010874528.1	COG0092	439862	8e-100	44.298	RpsC	Ribosomal protein S3	J	Translation, ribosomal structure and biogenesis
WP_010874529.1	COG0197	439967	1.06e-70	52.941	RplP	Ribosomal protein L16/L10AE	J	Translation, ribosomal structure and biogenesis
WP_010874530.1	COG0255	440025	2.45e-14	47.541	RpmC	Ribosomal protein L29	J	Translation, ribosomal structure and biogenesis
WP_010874532.1	COG0093	439863	2.83e-73	64.754	RplN	Ribosomal protein L14	J	Translation, ribosomal structure and biogenesis
WP_010874533.1	COG0198	439968	8.18e-28	38.739	RplX	Ribosomal protein L24	J	Translation, ribosomal structure and biogenesis
WP_010874535.1	COG0199	439969	6.62e-28	55.738	RpsN	Ribosomal protein S14	J	Translation, ribosomal structure and biogenesis
WP_010874536.1	COG0096	439866	1.37e-60	56.923	RpsH	Ribosomal protein S8	J	Translation, ribosomal structure and biogenesis
WP_010874538.1	COG0256	440026	5.85e-31	37.963	RplR	Ribosomal protein L18	J	Translation, ribosomal structure and biogenesis
WP_010874539.1	COG0098	439868	2.39e-80	49.091	RpsE	Ribosomal protein S5	J	Translation, ribosomal structure and biogenesis
WP_010874542.1	COG0563	440329	5.01e-79	37.561	Adk	Adenylate kinase or related kinase	F	Nucleotide transport and metabolism
WP_010874543.1	COG0024	439795	1.13e-91	35.484	Map	Methionine aminopeptidase	J	Translation, ribosomal structure and biogenesis
WP_010874544.1	COG0361	440130	9.92e-27	51.471	InfA	Translation initiation factor IF-1	J	Translation, ribosomal structure and biogenesis
WP_010874545.1	COG0257	440027	4.33e-10	65.789	RpmJ	Ribosomal protein L36	J	Translation, ribosomal structure and biogenesis
WP_010874546.1	COG0099	439869	5.76e-71	61.983	RpsM	Ribosomal protein S13	J	Translation, ribosomal structure and biogenesis
WP_010874547.1	COG0100	439870	3.18e-60	57.143	RpsK	Ribosomal protein S11	J	Translation, ribosomal structure and biogenesis
WP_010874549.1	COG0203	439973	3.47e-36	36.667	RplQ	Ribosomal protein L17	J	Translation, ribosomal structure and biogenesis
