QUERY_ID	COG_ID	CDD_ID	EVALUE	IDENTITY	GENE_NAME	COG_NAME	COG_LETTER	COG_DESCRIPTION
NP_414543.1	COG0527	440293	0.0	40.476	MetL1	Aspartate kinase	E	Amino acid transport and metabolism
NP_414544.1	COG0083	439853	1.74e-135	37.898	ThrB	Homoserine kinase	E	Amino acid transport and metabolism
NP_414545.1	COG0498	440264	1.09e-70	33.945	ThrC	Threonine synthase	E	Amino acid transport and metabolism
NP_414547.1	COG3022	442258	1.87e-155	58.498	YaaA	DNA-binding protein YaaA associated with the oxidative stress response	L	Replication, recombination and repair
NP_414548.1	COG1115	440732	0.0	49.111	AlsT	Na+/alanine symporter	E	Amino acid transport and metabolism
NP_414549.1	COG0176	439946	1.54e-79	33.224	TalA	Transaldolase/fructose-6-phosphate aldolase	G	Carbohydrate transport and metabolism
NP_414550.1	COG0521	440287	8.93e-70	42.286	MoaB	Molybdopterin adenylyltransferase MoaB/MogA	H	Coenzyme transport and metabolism
NP_414551.1	COG1584	441192	2.72e-71	58.824	SatP	Succinate-acetate transporter SatP	C	Energy production and conversion
NP_414552.1	COG4735	443769	3.26e-18	27.329	YaaW	Uncharacterized conserved protein YaaW, UPF0174 family	S	Function unknown
NP_414555.1	COG0443	440212	0.0	62.768	DnaK	Molecular chaperone DnaK (HSP70)	O	Posttranslational modification, protein turnover, chaperones
NP_414556.1	COG0484	440252	2.21e-42	71.831	DnaJ	DnaJ molecular chaperone, contains DnaJ and DnaJ_C  domains	O	Posttranslational modification, protein turnover, chaperones
NP_414557.1	COG3385	442612	1.44e-12	18.378	InsG	IS4 transposase InsG	X	Mobilome: prophages, transposons
NP_414560.1	COG3004	442241	0.0	61.499	NhaA	Na+/H+ antiporter NhaA	C	Energy production and conversion
NP_414561.1	COG0583	440348	6.26e-32	22.261	LysR	DNA-binding transcriptional regulator, LysR family	K	Transcription
NP_414562.1	COG1662	441268	1.55e-59	37.838	InsB	Transposase and inactivated derivatives, IS1 family	X	Mobilome: prophages, transposons
NP_414563.1	COG3677	442893	1.21e-25	29.348	InsA	Transposase InsA	X	Mobilome: prophages, transposons
NP_414564.1	COG0268	440038	2.46e-30	58.621	RpsT	Ribosomal protein S20	J	Translation, ribosomal structure and biogenesis
NP_414566.1	COG0196	439966	6.08e-173	52.244	RibF	FAD synthase	H	Coenzyme transport and metabolism
NP_414567.1	COG0060	439830	0.0	53.171	IleS	Isoleucyl-tRNA synthetase	J	Translation, ribosomal structure and biogenesis
NP_414568.1	COG0597	440362	1.04e-60	41.935	LspA	Lipoprotein signal peptidase	M	Cell wall/membrane/envelope biogenesis
NP_414569.1	COG1047	440668	4.31e-62	43.885	SlpA	Peptidyl-prolyl cis-trans isomerase, FKBP type	O	Posttranslational modification, protein turnover, chaperones
NP_414570.1	COG0761	440524	3.34e-177	58.478	IspH	4-Hydroxy-3-methylbut-2-enyl diphosphate reductase IspH	I	Lipid transport and metabolism
NP_414571.1	COG1957	441560	4.22e-130	49.675	URH1	Inosine-uridine nucleoside N-ribohydrolase	F	Nucleotide transport and metabolism
NP_414572.1	COG0289	440058	2.13e-133	55.513	DapB	4-hydroxy-tetrahydrodipicolinate reductase	E	Amino acid transport and metabolism
NP_414573.1	COG0505	440271	0.0	62.5	CarA	Carbamoylphosphate synthase small subunit	E	Amino acid transport and metabolism
NP_414574.1	COG0458	440226	0.0	48.561	CarB	Carbamoylphosphate synthase large subunit	E	Amino acid transport and metabolism
NP_414577.2	COG0663	440427	4.32e-79	42.941	PaaY	Carbonic anhydrase or acetyltransferase, isoleucine patch superfamily	R	General function prediction only
NP_414578.2	COG1024	440647	4.85e-88	42.688	CaiD	Enoyl-CoA hydratase/carnithine racemase	I	Lipid transport and metabolism
NP_414579.4	COG0318	440087	2.71e-148	34.113	MenE	O-succinylbenzoic acid-CoA ligase MenE or related acyl-CoA synthetase (AMP-forming)	I	Lipid transport and metabolism
NP_414580.1	COG1804	441409	3.59e-98	30.446	CaiB	Crotonobetainyl-CoA:carnitine CoA-transferase CaiB and related acyl-CoA transferases	I	Lipid transport and metabolism
NP_414581.1	COG1960	441563	4.3e-122	35.602	CaiA	Acyl-CoA dehydrogenase related to the alkylation response protein AidB	I	Lipid transport and metabolism
NP_414582.1	COG1292	440903	3.92e-155	35.729	BetT	Choline-glycine betaine transporter	M	Cell wall/membrane/envelope biogenesis
NP_414583.2	COG2086	441689	7.45e-73	39.08	FixA	Electron transfer flavoprotein, alpha and beta subunits	C	Energy production and conversion
NP_414584.1	COG2025	441628	8.23e-105	35.093	FixB	Electron transfer flavoprotein, alpha subunit FixB	C	Energy production and conversion
NP_414585.1	COG0644	440409	1.23e-57	33.43	FixC	Dehydrogenase (flavoprotein)	C	Energy production and conversion
NP_414586.1	COG2440	441981	2.91e-33	40.909	FixX	Ferredoxin-like protein FixX	C	Energy production and conversion
NP_414587.1	COG2271	441872	1.86e-38	21.718	UhpC	Sugar phosphate permease	G	Carbohydrate transport and metabolism
NP_414588.1	COG2249	441850	2.21e-54	36.598	MdaB	Putative NADPH-quinone reductase (modulator of drug activity B)	R	General function prediction only
NP_414589.1	COG0475	440243	1.94e-114	42.52	KefB	Kef-type K+ transport system, membrane component KefB	P	Inorganic ion transport and metabolism
NP_414590.1	COG0262	440032	9.46e-43	40.764	FolA	Dihydrofolate reductase	H	Coenzyme transport and metabolism
NP_414591.1	COG0639	440404	1.49e-102	47.345	ApaH	Diadenosine tetraphosphatase ApaH/serine/threonine protein phosphatase, PP2A family	T	Signal transduction mechanisms
NP_414592.1	COG2967	442207	1.72e-71	54.622	ApaG	Uncharacterized conserved protein ApaG affecting Mg2+/Co2+ transport	P	Inorganic ion transport and metabolism
NP_414593.1	COG0030	439801	6.8e-142	48.162	RsmA	rRNA adenine N6-methylase, includes 16S rRNA A1518 and A1519 N6-dimethyltransferase  RsmA/KsgA/DIM  and 23S rRNA A2058 N6-methylase ErmO/TlrD (may also have DNA glycosylase/AP lyase activity)	J	Translation, ribosomal structure and biogenesis
NP_414594.1	COG1995	441598	0.0	52.568	PdxA	4-hydroxy-L-threonine phosphate dehydrogenase PdxA	H	Coenzyme transport and metabolism
NP_414595.1	COG0760	440523	2.8e-46	37.5	SurA	Periplasmic chaperone SurA (peptidyl-prolyl cis-trans isomerase)	O	Posttranslational modification, protein turnover, chaperones
NP_414596.1	COG1452	441061	0.0	39.148	LptD	Lipopolysaccharide export system protein LptD/OstA, potential outer membrane flippase	M	Cell wall/membrane/envelope biogenesis
NP_414597.1	COG1076	440694	1.66e-29	50.0	DjlA	DnaJ domain-containing protein	O	Posttranslational modification, protein turnover, chaperones
