QUERY_ID	COG_ID	CDD_ID	EVALUE	IDENTITY	GENE_NAME	COG_NAME	COG_LETTER	COG_DESCRIPTION
BAA10019.1	COG1032	440655	1.88e-58	24.499	YgiQ	Radical SAM superfamily enzyme YgiQ, UPF0313 family	R	General function prediction only
BAA10020.1	COG0568	440334	9.23e-138	46.58	RpoD	DNA-directed RNA polymerase, sigma subunit (sigma70/sigma32)	K	Transcription
BAA10021.1	COG1159	440773	6.04e-162	49.658	Era	GTPase Era, involved in 16S rRNA processing	J	Translation, ribosomal structure and biogenesis
BAA10022.1	COG0643	440408	6.49e-142	31.373	CheA	Chemotaxis protein histidine kinase CheA	T	Signal transduction mechanisms
BAA10023.1	COG0383	440152	0.0	42.336	MngB	Alpha-mannosidase	G	Carbohydrate transport and metabolism
BAA10024.1	COG1173	440786	3.09e-94	45.588	DppC	ABC-type dipeptide/oligopeptide/nickel transport system, permease component	E	Amino acid transport and metabolism
BAA10025.1	COG2202	441804	0.003	19.643	PAS	PAS domain	T	Signal transduction mechanisms
BAA10026.1	COG1357	440968	4.3e-16	27.523	DotG	Type IVB secretion/DNA transfer system protein DotG/IcmE, contains pentapeptide repeats	U	Intracellular trafficking, secretion, and vesicular transport
BAA10027.1	COG0307	440076	3.72e-100	49.528	RibC	Riboflavin synthase alpha chain	H	Coenzyme transport and metabolism
BAA10029.1	COG1178	440791	7.15e-156	39.344	FbpB	ABC-type Fe3+ transport system, permease component	P	Inorganic ion transport and metabolism
BAA10030.1	COG0394	440163	1.26e-48	34.868	Wzb	Protein-tyrosine-phosphatase	T	Signal transduction mechanisms
BAA10031.1	COG1940	441543	1.14e-106	40.667	NagC	Sugar kinase of the NBD/HSP70 family, may contain an N-terminal HTH domain	G	Carbohydrate transport and metabolism
BAA10032.1	COG3216	442449	4.49e-47	40.26		Uncharacterized conserved protein, DUF2062 family	S	Function unknown
BAA10033.1	COG3688	442904	3.94e-67	38.919	Rae1	EndoRNase involved in mRNA decay, NYN (Nedd4-BP1/Rae1/YacP nuclease) family,  contains PIN domain	A	RNA processing and modification
BAA10034.1	COG4636	443674	6.66e-32	26.455	Uma2	Endonuclease, Uma2 family (restriction endonuclease fold)	R	General function prediction only
BAA10035.1	COG5905	444607	5.99e-35	48.0	GerE	Spore transcriptional regulator GerE (stand-alone HTH domain)	D	Cell cycle control, cell division, chromosome partitioning
BAA10036.1	COG1143	440758	1.69e-11	34.328	NuoI	Formate hydrogenlyase subunit 6/NADH:ubiquinone oxidoreductase 23 kD subunit (chain I)	C	Energy production and conversion
BAA10037.1	COG1008	440632	0.0	45.142	NuoM	NADH:ubiquinone oxidoreductase subunit 4 (chain M)	C	Energy production and conversion
BAA10041.1	COG0546	440312	1.26e-15	19.915	Gph	Phosphoglycolate phosphatase, HAD superfamily	C	Energy production and conversion
BAA10042.1	COG5693	444407	0.0	78.232	ApcE	Phycobilisome linker protein ApcE	C	Energy production and conversion
BAA10043.1	COG1449	441058	3.77e-115	28.051		Alpha-amylase/alpha-mannosidase, GH57 family	G	Carbohydrate transport and metabolism
BAA10046.1	COG0673	440437	2.95e-66	30.723	MviM	Predicted dehydrogenase	R	General function prediction only
BAA10049.1	COG5714	444424	1.49e-95	69.54	Ycf37	Photosystem I assembly protein Ycf37, contains TPR repeats	C	Energy production and conversion
BAA10050.1	COG3448	442671	1.99e-42	34.228		CBS-domain-containing membrane protein	T	Signal transduction mechanisms
BAA10051.1	COG1961	441564	1.71e-14	22.344	SpoIVCA	Site-specific DNA recombinase SpoIVCA/DNA invertase PinE	L	Replication, recombination and repair
BAA10052.1	COG1937	441540	5.34e-37	42.683	FrmR	DNA-binding transcriptional regulator, FrmR family	K	Transcription
BAA10054.1	COG2509	441999	0.0	55.982		FAD-dependent dehydrogenase	R	General function prediction only
BAA10055.1	COG0834	440596	1.7e-27	22.222	HisJ	ABC-type amino acid transport/signal transduction system, periplasmic component/domain	E	Amino acid transport and metabolism
BAA10056.1	COG4257	443399	1.75e-81	44.0	Vgb	Streptogramin lyase	V	Defense mechanisms
BAA10058.1	COG0404	440173	1.29e-179	50.269	GcvT	Glycine cleavage system protein T (aminomethyltransferase)	E	Amino acid transport and metabolism
BAA10059.1	COG0443	440212	0.0	64.833	DnaK	Molecular chaperone DnaK (HSP70)	O	Posttranslational modification, protein turnover, chaperones
BAA10060.1	COG0484	440252	4.58e-15	37.5	DnaJ	DnaJ molecular chaperone, contains DnaJ and DnaJ_C  domains	O	Posttranslational modification, protein turnover, chaperones
BAA10063.1	COG0007	439778	7.55e-105	47.257	CysG	Uroporphyrinogen-III methylase (siroheme synthase)	H	Coenzyme transport and metabolism
BAA10064.1	COG2319	441893	1.1e-118	39.95	WD40	WD40 repeat	R	General function prediction only
BAA10065.1	COG1842	441447	3.87e-08	25.641	PspA	Phage shock protein A involved in membrane remodeling, PspA/Vipp1/IM30 family	M	Cell wall/membrane/envelope biogenesis
BAA10066.1	COG0699	440463	1.74e-101	39.59	CrfC	Replication fork clamp-binding protein CrfC (dynamin-like GTPase family)	L	Replication, recombination and repair
BAA10067.1	COG3385	442612	2.17e-37	25.749	InsG	IS4 transposase InsG	X	Mobilome: prophages, transposons
BAA10069.1	COG3293	442522	4.42e-20	51.02		Transposase	X	Mobilome: prophages, transposons
BAA10070.1	COG1381	440991	2.95e-56	27.668	RecO	Recombinational DNA repair protein RecO (RecF pathway)	L	Replication, recombination and repair
BAA10073.1	COG0296	440065	0.0	60.775	GlgB	1,4-alpha-glucan branching enzyme	G	Carbohydrate transport and metabolism
BAA10074.1	COG2220	441822	5.31e-27	24.286	UlaG	L-ascorbate lactonase UlaG, metallo-beta-lactamase superfamily	G	Carbohydrate transport and metabolism
BAA10077.1	COG0461	440229	8.07e-60	38.674	PyrE	Orotate phosphoribosyltransferase	F	Nucleotide transport and metabolism
BAA10078.1	COG0391	440160	0.0	58.044	CofD	Archaeal 2-phospho-L-lactate transferase/Bacterial gluconeogenesis factor, CofD/UPF0052 family	G	Carbohydrate transport and metabolism
BAA10079.1	COG0119	439889	0.0	52.282	LeuA	Isopropylmalate/homocitrate/citramalate synthases	E	Amino acid transport and metabolism
BAA10080.1	COG5001	444025	0.0	44.251		Cyclic di-GMP metabolism protein, combines GGDEF and EAL domains with a 6TM membrane domain	T	Signal transduction mechanisms
BAA10081.1	COG2233	441834	2.21e-06	25.701	UraA	Xanthine/uracil permease	F	Nucleotide transport and metabolism
BAA10082.1	COG1187	440800	1.99e-104	50.0	RsuA	Pseudouridylate synthase RsuA/RluF, specific for 16S rRNA U516, 23S rRNA U2604/U2605/U2457, and tRNA(Tyr)-35	J	Translation, ribosomal structure and biogenesis
BAA10083.1	COG2179	441782	6.78e-69	40.741	YqeG	Phosphatidylglycerophosphate phosphatase PgpP/YqeG or related phosphohydrolase, HAD superfamily	M	Cell wall/membrane/envelope biogenesis
BAA10084.1	COG1452	441061	2.2e-13	26.667	LptD	Lipopolysaccharide export system protein LptD/OstA, potential outer membrane flippase	M	Cell wall/membrane/envelope biogenesis
BAA10085.1	COG5723	444433	2.13e-17	78.947	PsbI	Photosystem II reaction center protein I, PsbI, oxygen-evolving center	C	Energy production and conversion
BAA10086.1	COG5512	444263	2.63e-27	38.235		Predicted  nucleic acid-binding protein, contains Zn-ribbon domain (includes truncated derivatives)	R	General function prediction only
BAA10087.1	COG3210	442443	5.33e-47	11.97	FhaB	Large exoprotein involved in heme utilization or adhesion	U	Intracellular trafficking, secretion, and vesicular transport
BAA10088.1	COG3210	442443	4.59e-21	12.42	FhaB	Large exoprotein involved in heme utilization or adhesion	U	Intracellular trafficking, secretion, and vesicular transport
BAA10089.1	COG0841	440603	0.0	39.316	AcrB	Multidrug efflux pump subunit AcrB	V	Defense mechanisms
BAA10090.1	COG1012	440636	2.25e-161	42.105	AdhE	Acyl-CoA reductase or other NAD-dependent aldehyde dehydrogenase	I	Lipid transport and metabolism
BAA10091.1	COG5002	444026	2.68e-64	41.004	WalK	Sensor histidine kinase WalK	T	Signal transduction mechanisms
BAA10092.1	COG0777	440540	0.0	57.394	AccD	Acetyl-CoA carboxylase beta subunit	I	Lipid transport and metabolism
BAA10093.1	COG2308	441882	0.0	60.211		Circularly permuted ATP-grasp protein	R	General function prediction only
BAA10095.1	COG0464	440232	3.99e-76	29.765	SpoVK	AAA+-type ATPase, SpoVK/Ycf46/Vps4 family	M	Cell wall/membrane/envelope biogenesis
BAA10096.1	COG5765	444475	7e-40	37.097	Ycf35	Uncharacterized cyanobacterial/chloroplast stress-induced protein Ycf35, DUF1257 domain	C	Energy production and conversion
BAA10098.1	COG2366	441933	7.81e-95	25.485	PvdQ	Acyl-homoserine lactone (AHL) acylase PvdQ	Q	Secondary metabolites biosynthesis, transport and catabolism
BAA10099.1	COG0125	439895	2.37e-56	34.862	Tmk	Thymidylate kinase	F	Nucleotide transport and metabolism
BAA10100.1	COG4995	444019	1.26e-73	35.593		Uncharacterized conserved protein, contains CHAT domain	S	Function unknown
BAA10101.1	COG0346	440115	6.21e-44	34.4	GloA	Glyoxalase, catechol 2,3-dioxygenase or related enzyme, vicinal oxygen chelate (VOC) family	Q	Secondary metabolites biosynthesis, transport and catabolism
BAA10102.1	COG0300	440069	8.85e-83	35.857	YqjQ	Short-chain dehydrogenase	R	General function prediction only
BAA10103.1	COG0742	440505	2.75e-61	44.022	RsmD	16S rRNA G966 N2-methylase RsmD	J	Translation, ribosomal structure and biogenesis
BAA10104.1	COG0438	440207	2.22e-25	44.086	RfaB	Lipopolysaccharide 1,6-galactosyltransferase, GT1 family	M	Cell wall/membrane/envelope biogenesis
BAA10105.1	COG0362	440131	0.0	63.753	Gnd	6-phosphogluconate dehydrogenase	G	Carbohydrate transport and metabolism
BAA10108.1	COG2755	442045	2.96e-11	25.843	TesA	Lysophospholipase L1 or related esterase. Includes spore coat protein LipC/YcsK	D	Cell cycle control, cell division, chromosome partitioning
BAA10109.1	COG1104	440721	0.0	57.368	NifS	Cysteine desulfurase/Cysteine sulfinate desulfinase IscS or related enzyme, NifS family	E	Amino acid transport and metabolism
BAA10110.1	COG1040	440662	3.87e-53	29.717	ComFC	DNA utilization protein ComFC/GntX, contains phosphoribosyltransferase domain	R	General function prediction only
BAA10111.1	COG1376	440986	4.63e-47	36.508	ErfK	Lipoprotein-anchoring transpeptidase ErfK/SrfK	M	Cell wall/membrane/envelope biogenesis
BAA10112.1	COG2442	441983	1.25e-30	49.275		Predicted antitoxin component of a toxin-antitoxin system, DUF433 family	V	Defense mechanisms
BAA10113.1	COG4634	443672	3.3e-30	34.259		Predicted nuclease, contains PIN domain, potential toxin-antitoxin system component	R	General function prediction only
BAA10114.1	COG5746	444456	0.0	50.462	BchB	Light-independent protochlorophyllide reductase subunit  B, BchB (=ChlB)	H	Coenzyme transport and metabolism
BAA10115.1	COG0569	440335	2.39e-47	30.583	TrkA	Trk/Ktr K+ transport system regulatory component TrkA/KtrA/KtrC, RCK domain	P	Inorganic ion transport and metabolism
BAA10116.1	COG3659	442876	1.08e-06	17.557	OprB	Carbohydrate-selective porin OprB	M	Cell wall/membrane/envelope biogenesis
BAA10117.1	COG2814	442063	2.44e-29	23.358	AraJ	Predicted arabinose efflux permease AraJ, MFS family	G	Carbohydrate transport and metabolism
BAA10118.1	COG0342	440111	0.0	46.512	SecD	Preprotein translocase subunit SecD	U	Intracellular trafficking, secretion, and vesicular transport
BAA10119.1	COG0341	440110	1.97e-114	42.295	SecF	Preprotein translocase subunit SecF	U	Intracellular trafficking, secretion, and vesicular transport
BAA10120.1	COG1044	440666	1.45e-162	46.802	LpxD	UDP-3-O-[3-hydroxymyristoyl] glucosamine N-acyltransferase	M	Cell wall/membrane/envelope biogenesis
BAA10121.1	COG0292	440061	7.17e-51	68.696	RplT	Ribosomal protein L20	J	Translation, ribosomal structure and biogenesis
BAA10122.1	COG0291	440060	4.32e-22	54.545	RpmI	Ribosomal protein L35	J	Translation, ribosomal structure and biogenesis
BAA10123.1	COG2003	441606	3.21e-97	42.667	RadC	DNA repair protein RadC, contains a helix-hairpin-helix DNA-binding motif	L	Replication, recombination and repair
BAA10124.1	COG1054	440674	1.32e-150	52.768	TrhO	tRNA U34 5'-hydroxylase TrhO, rhodanese family	J	Translation, ribosomal structure and biogenesis
BAA10125.1	COG4674	443710	1.23e-167	62.857		ABC-type uncharacterized transport system, ATPase component	R	General function prediction only
BAA10129.1	COG0842	440604	3.22e-22	30.233	YadH	ABC-type multidrug transport system, permease component	V	Defense mechanisms
BAA10130.1	COG1131	440746	1.98e-113	53.604	RbbA	Ribosome-associated ATPase or ATPase component of an ABC-type multidrug transport system	J	Translation, ribosomal structure and biogenesis
BAA10132.1	COG0034	439804	0.0	59.179	PurF	Glutamine phosphoribosylpyrophosphate amidotransferase	F	Nucleotide transport and metabolism
BAA10133.1	COG5731	444441	1.9e-09	74.194	PsbT	Photosystem II reaction center protein T, PsbT/Ycf8	C	Energy production and conversion
BAA10134.1	COG1327	440938	6.88e-84	51.656	NrdR	Transcriptional regulator NrdR, contains Zn-ribbon and ATP-cone domains	K	Transcription
BAA10136.1	COG0450	440219	3.22e-108	48.205	AhpC	Alkyl hydroperoxide reductase subunit AhpC (peroxiredoxin)	V	Defense mechanisms
BAA10137.1	COG0858	440619	9.51e-51	46.667	RbfA	Ribosome-binding factor RbfA	J	Translation, ribosomal structure and biogenesis
BAA10138.1	COG5715	444425	1.53e-25	72.308	Ycf33	Photosystem I auxiliary component Ycf33, involved in cyclic electron transport	C	Energy production and conversion
BAA10139.1	COG0190	439960	4.3e-180	59.864	FolD	5,10-methylene-tetrahydrofolate dehydrogenase/Methenyl tetrahydrofolate cyclohydrolase	H	Coenzyme transport and metabolism
BAA10140.1	COG3008	442245	4.41e-05	20.175	PqiB	Intermembrane transporter PqiABC subunit PqiB	M	Cell wall/membrane/envelope biogenesis
BAA10141.1	COG1463	441072	6.98e-20	24.818	MlaD	Periplasmic subunit MlaD of the ABC-type intermembrane phospholipid transporter Mla	M	Cell wall/membrane/envelope biogenesis
BAA10142.1	COG1231	440844	7.49e-139	32.385	YobN	Monoamine oxidase	E	Amino acid transport and metabolism
BAA10143.1	COG2205	441807	3.71e-83	38.174	KdpD	K+-sensing histidine kinase KdpD	T	Signal transduction mechanisms
BAA10144.1	COG5401	444160	8.17e-35	33.333	GerM	Spore germination protein GerM	D	Cell cycle control, cell division, chromosome partitioning
BAA10145.1	COG0149	439919	1.83e-140	54.0	TpiA	Triosephosphate isomerase	G	Carbohydrate transport and metabolism
BAA10146.1	COG0628	440393	2.76e-52	31.908	PerM	Predicted PurR-regulated permease PerM	R	General function prediction only
BAA10147.1	COG0834	440596	7.49e-33	25.105	HisJ	ABC-type amino acid transport/signal transduction system, periplasmic component/domain	E	Amino acid transport and metabolism
BAA10149.1	COG1290	440901	1.85e-89	42.466	QcrB/PetB	Cytochrome b subunit of the bc complex	C	Energy production and conversion
BAA10150.1	COG5679	444393	2.77e-88	80.38	PetD	Cytochrome b6f complex subunit IV, PetD, 17 kd cytochrome b	C	Energy production and conversion
BAA10151.1	COG0438	440207	1.67e-24	35.455	RfaB	Lipopolysaccharide 1,6-galactosyltransferase, GT1 family	M	Cell wall/membrane/envelope biogenesis
BAA10153.1	COG0571	440336	3.94e-60	36.15	Rnc	dsRNA-specific ribonuclease	K	Transcription
BAA10154.1	COG0068	439838	0.0	50.911	HypF	Hydrogenase maturation factor HypF (carbamoyltransferase)	O	Posttranslational modification, protein turnover, chaperones
BAA10155.1	COG0579	440344	5.25e-08	38.636	LhgO	L-2-hydroxyglutarate oxidase LhgO	G	Carbohydrate transport and metabolism
BAA10156.1	COG1277	440888	7.92e-22	32.99	NosY	ABC-type transport system involved in multi-copper enzyme maturation, permease component	O	Posttranslational modification, protein turnover, chaperones
BAA10157.1	COG0349	440118	9.06e-78	43.017	Rnd	Ribonuclease D, nanoRNase NrnC or deoxydinuclease (diDNase)	A	RNA processing and modification
BAA10159.1	COG0761	440524	1.87e-113	30.372	IspH	4-Hydroxy-3-methylbut-2-enyl diphosphate reductase IspH	I	Lipid transport and metabolism
BAA10161.1	COG3293	442522	1.46e-36	39.45		Transposase	X	Mobilome: prophages, transposons
BAA10162.1	COG1565	441173	2.7e-161	41.237	MidA	SAM-dependent methyltransferase, MidA family	R	General function prediction only
BAA10163.1	COG3385	442612	3.14e-21	32.5	InsG	IS4 transposase InsG	X	Mobilome: prophages, transposons
BAA10164.1	COG3335	442564	3.63e-34	24.621		Transposase	X	Mobilome: prophages, transposons
BAA10167.1	COG3914	443119	2.45e-14	22.707	Spy	Predicted O-linked N-acetylglucosamine transferase, SPINDLY family	O	Posttranslational modification, protein turnover, chaperones
BAA10168.1	COG1122	440739	7.94e-58	38.028	EcfA2	Energy-coupling factor transporter ATP-binding protein EcfA2	P	Inorganic ion transport and metabolism
BAA10169.1	COG0828	440590	7.08e-18	52.0	RpsU	Ribosomal protein S21	J	Translation, ribosomal structure and biogenesis
BAA10170.1	COG0334	440103	8.67e-11	42.188	GdhA	Glutamate dehydrogenase/leucine dehydrogenase	E	Amino acid transport and metabolism
BAA10172.1	COG0601	440366	2.46e-118	41.615	DppB	ABC-type dipeptide/oligopeptide/nickel transport system, permease component	E	Amino acid transport and metabolism
BAA10173.1	COG0124	439894	0.0	54.756	HisS	Histidyl-tRNA synthetase	J	Translation, ribosomal structure and biogenesis
BAA10175.1	COG1246	440859	1.52e-13	26.471	ArgA	N-acetylglutamate synthase or related acetyltransferase, GNAT family	E	Amino acid transport and metabolism
BAA10177.1	COG1633	441240	0.002	16.901	YhjR	Rubrerythrin, includes spore coat protein YhjR	P	Inorganic ion transport and metabolism
BAA10178.1	COG0754	440517	5.66e-124	31.9	Gsp	Glutathionylspermidine synthase, CHAP domain	E	Amino acid transport and metabolism
BAA10179.1	COG5463	444214	3.66e-12	24.082	YgiB	Uncharacterized conserved protein YgiB, UPF0441/DUF1190 family, involved in bioifilm formation	S	Function unknown
BAA10180.1	COG1853	441458	1.1e-46	33.333	RutF	FMN reductase RutF, DIM6/NTAB family	C	Energy production and conversion
BAA10181.1	COG0420	440189	1.18e-67	32.292	SbcD	DNA repair exonuclease SbcCD nuclease subunit	L	Replication, recombination and repair
BAA10182.1	COG0542	440308	0.0	56.907	ClpA	ATP-dependent Clp protease, ATP-binding subunit ClpA	O	Posttranslational modification, protein turnover, chaperones
BAA10183.1	COG0743	440506	0.0	55.838	Dxr	1-deoxy-D-xylulose 5-phosphate reductoisomerase	I	Lipid transport and metabolism
BAA10184.1	COG0191	439961	5.1e-138	45.732	Fba	Fructose/tagatose bisphosphate aldolase	G	Carbohydrate transport and metabolism
BAA10185.1	COG0001	439772	0.0	64.234	HemL	Glutamate-1-semialdehyde aminotransferase	H	Coenzyme transport and metabolism
BAA10186.1	COG2821	442069	8.9e-139	32.187	MltA	Membrane-bound lytic murein transglycosylase	M	Cell wall/membrane/envelope biogenesis
BAA10187.1	COG0009	439780	1.49e-30	27.094	TsaC	tRNA A37 threonylcarbamoyladenosine synthetase subunit TsaC/SUA5/YrdC	J	Translation, ribosomal structure and biogenesis
BAA10188.1	COG1208	440821	4.75e-61	36.17	GCD1	NDP-sugar pyrophosphorylase, includes eIF-2Bgamma, eIF-2Bepsilon, and LPS biosynthesis protein s	J	Translation, ribosomal structure and biogenesis
BAA10189.1	COG0793	440556	9.09e-138	42.899	CtpA	C-terminal processing protease CtpA/Prc, contains a PDZ domain	O	Posttranslational modification, protein turnover, chaperones
BAA10190.1	COG1850	441455	0.0	42.506	RbcL	Ribulose 1,5-bisphosphate carboxylase, large subunit, or a RuBisCO-like protein	G	Carbohydrate transport and metabolism
BAA10192.1	COG4451	443549	3.33e-61	46.078	RbcS	Ribulose bisphosphate carboxylase small subunit	G	Carbohydrate transport and metabolism
BAA10194.1	COG1285	440896	1.46e-65	43.523	SapB	Magnesium uptake protein YhiD/SapB, involved in acid resistance	P	Inorganic ion transport and metabolism
BAA10195.1	COG3293	442522	1.46e-36	39.45		Transposase	X	Mobilome: prophages, transposons
BAA10196.1	COG0763	440526	1.96e-165	41.282	LpxB	Lipid A disaccharide synthetase	M	Cell wall/membrane/envelope biogenesis
BAA10197.1	COG0633	440398	1.43e-32	42.169	Fdx	Ferredoxin	C	Energy production and conversion
BAA10198.1	COG1714	441320	9.64e-09	26.974	YckC	Uncharacterized membrane protein YckC, RDD family	S	Function unknown
BAA10199.1	COG0766	440529	0.0	57.757	MurA	UDP-N-acetylglucosamine enolpyruvyl transferase	M	Cell wall/membrane/envelope biogenesis
BAA10200.1	COG0114	439884	0.0	67.325	FumC	Fumarate hydratase class II	C	Energy production and conversion
BAA10201.1	COG3385	442612	0.000434	24.419	InsG	IS4 transposase InsG	X	Mobilome: prophages, transposons
BAA10202.1	COG3188	442421	7.36e-51	21.253	FimD	Outer membrane usher protein FimD/PapC	N	Cell motility
BAA10204.1	COG4636	443674	4.33e-25	24.468	Uma2	Endonuclease, Uma2 family (restriction endonuclease fold)	R	General function prediction only
BAA10205.1	COG0436	440205	2.92e-172	40.155	AspB	Aspartate/methionine/tyrosine aminotransferase	E	Amino acid transport and metabolism
BAA10206.1	COG0661	440425	0.0	40.086	AarF	Predicted protein kinase regulating ubiquinone biosynthesis, AarF/ABC1/UbiB family	H	Coenzyme transport and metabolism
BAA10207.1	COG1200	440813	0.0	53.757	RecG	RecG-like helicase	L	Replication, recombination and repair
BAA10208.1	COG0616	440381	3.4e-83	48.815	SppA	Periplasmic serine protease, ClpP class	O	Posttranslational modification, protein turnover, chaperones
BAA10209.1	COG0744	440507	0.0	45.987	MrcB	Penicillin-binding protein 1B/1F, peptidoglycan  transglycosylase/transpeptidase	M	Cell wall/membrane/envelope biogenesis
BAA10210.1	COG0519	440285	0.0	62.016	GuaA2	GMP synthase, PP-ATPase domain/subunit	F	Nucleotide transport and metabolism
BAA10211.1	COG0270	440040	5.43e-109	31.105	Dcm	DNA-cytosine methylase Dcm or eukaryotic tRNA-C38 C5-methylase, Dcm/DNMT2/TRDMT1 family	L	Replication, recombination and repair
BAA10212.1	COG1968	441571	1.2e-96	49.451	UppP	Undecaprenyl pyrophosphate phosphatase	I	Lipid transport and metabolism
BAA10213.1	COG2087	441690	3.53e-67	37.572	CobU	Adenosyl cobinamide kinase/adenosyl cobinamide phosphate guanylyltransferase	H	Coenzyme transport and metabolism
BAA10216.1	COG5322	444114	3.14e-141	36.337		Predicted acyl-ACP reductase	R	General function prediction only
BAA10217.1	COG1633	441240	7.99e-05	27.559	YhjR	Rubrerythrin, includes spore coat protein YhjR	P	Inorganic ion transport and metabolism
BAA10218.1	COG1209	440822	3.08e-134	40.067	RmlA1	dTDP-glucose pyrophosphorylase	M	Cell wall/membrane/envelope biogenesis
BAA10219.1	COG0751	440514	0.0	46.24	GlyS	Glycyl-tRNA synthetase, beta subunit	J	Translation, ribosomal structure and biogenesis
BAA10220.1	COG3744	442958	3e-49	46.4		PIN domain nuclease, a component of toxin-antitoxin system (PIN domain)	V	Defense mechanisms
BAA10221.1	COG1206	440819	0.0	58.559	TrmFO	Folate-dependent tRNA-U54 methylase TrmFO/GidA	J	Translation, ribosomal structure and biogenesis
BAA10222.1	COG2205	441807	8.74e-80	42.437	KdpD	K+-sensing histidine kinase KdpD	T	Signal transduction mechanisms
BAA10223.1	COG0445	440214	0.0	55.911	MnmG	tRNA U34 5-carboxymethylaminomethyl modifying enzyme MnmG/GidA	J	Translation, ribosomal structure and biogenesis
BAA10224.1	COG3000	442238	1.87e-25	25.373	ERG3	Sterol desaturase/sphingolipid hydroxylase, fatty acid hydroxylase superfamily	I	Lipid transport and metabolism
BAA10225.1	COG3335	442564	2.2e-35	33.784		Transposase	X	Mobilome: prophages, transposons
BAA10226.1	COG3415	442641	0.000101	24.638	Csa3	CRISPR-associated protein Csa3, CARF domain	V	Defense mechanisms
BAA10227.1	COG3794	443008	4.45e-27	42.353	PetE	Plastocyanin	C	Energy production and conversion
BAA10228.1	COG4726	443761	1.17e-07	24.719	PilX	Type IV pilus assembly protein PilX	N	Cell motility
BAA10229.1	COG4636	443674	7.3e-33	25.773	Uma2	Endonuclease, Uma2 family (restriction endonuclease fold)	R	General function prediction only
BAA10230.1	COG0465	440233	0.0	56.073	HflB	ATP-dependent Zn proteases	O	Posttranslational modification, protein turnover, chaperones
BAA10231.1	COG2802	442054	1.15e-54	39.487	LON/PUA	Uncharacterized conserved protein, LON_N-like domain, ASCH/PUA-like superfamily	S	Function unknown
BAA10232.1	COG0805	440568	9.32e-85	43.277	TatC	Twin-arginine protein secretion pathway component TatC	U	Intracellular trafficking, secretion, and vesicular transport
BAA10233.1	COG2084	441687	1.01e-105	43.158	MmsB	3-hydroxyisobutyrate dehydrogenase or related beta-hydroxyacid dehydrogenase	I	Lipid transport and metabolism
BAA10234.1	COG3335	442564	8.31e-34	24.621		Transposase	X	Mobilome: prophages, transposons
BAA10235.1	COG0122	439892	1.3e-49	46.457	AlkA	3-methyladenine DNA glycosylase/8-oxoguanine DNA glycosylase	L	Replication, recombination and repair
BAA10236.1	COG4370	443498	0.0	52.133		Uncharacterized conserved protein	S	Function unknown
BAA10237.1	COG0586	440351	2.21e-53	39.086	DedA	Undecaprenyl phosphate translocase (flippase), DedA/Tvp38 family	M	Cell wall/membrane/envelope biogenesis
BAA10238.1	COG3118	442352	8.71e-42	50.0	CnoX	Chaperedoxin CnoX, contains thioredoxin-like and TPR-like domains, YbbN/TrxSC family	O	Posttranslational modification, protein turnover, chaperones
BAA10239.1	COG3751	442965	9.25e-37	23.881	EGL9	Proline 4-hydroxylase (includes Rps23 Pro-64 3,4-dihydroxylase Tpa1), contains SM-20 domain	J	Translation, ribosomal structure and biogenesis
BAA10240.1	COG0459	440227	0.0	56.262	GroEL	Chaperonin GroEL (HSP60 family)	O	Posttranslational modification, protein turnover, chaperones
BAA10241.1	COG1131	440746	6.57e-98	35.965	RbbA	Ribosome-associated ATPase or ATPase component of an ABC-type multidrug transport system	J	Translation, ribosomal structure and biogenesis
BAA10242.1	COG1357	440968	9.85e-32	43.382	DotG	Type IVB secretion/DNA transfer system protein DotG/IcmE, contains pentapeptide repeats	U	Intracellular trafficking, secretion, and vesicular transport
BAA10243.1	COG2968	442208	1.51e-47	31.224	YggE	Oxidative stress-related protein YggE, contains kinase-interacting SIMPL domain	R	General function prediction only
BAA10247.1	COG4399	443525	6.57e-34	35.616	YheB	Uncharacterized membrane protein YheB, UPF0754 family	S	Function unknown
BAA10248.1	COG0824	440586	9.49e-42	30.435	FadM	Acyl-CoA thioesterase FadM	I	Lipid transport and metabolism
